养老金产品时序图,,,,,
日期,国泰金色年华固定收益型养老金产品,国泰金色年华混合型养老金产品,国泰金色年华信托型养老金产品2期,国泰金色年华信托型养老金产品1期,国泰金色年华货币型养老金产品
2023/1/1,0.102230266095172,0.0458288850668028,0.00980719466976392,0.00943851823456382,0.0077167261065415
2023/1/2,0.102224030007342,0.0458260894861658,0.00980659642689849,0.00943794248111096,0.00771625538310905
2023/1/3,0.102083235956929,0.045807607058633,0.00979091867722665,0.0094228317967142,0.00770386719419979
2023/1/4,0.101951187013841,0.045974001676928,0.00977621616165482,0.00940772579598614,0.0076906875475778
2023/1/5,0.101764020484922,0.04592207480411,0.00975489361647103,0.00938800568158312,0.0076738492410659
2023/1/6,0.101768162311743,0.0460066426975124,0.00974949266272679,0.00938278568960439,0.00766955072850029
2023/1/7,0.101761694907788,0.0460037189585338,0.00974887307890044,0.00938218941014037,0.00766906332574497
2023/1/8,0.101755228379797,0.046000795615555,0.00974825357899235,0.0093815932114382,0.00766857598900492
2023/1/9,0.101737593352086,0.0460243189027294,0.00974649605238775,0.0093790375524203,0.0076664749589973
2023/1/10,0.101798946222205,0.046034677747186,0.00975284370899978,0.00938505753580768,0.00767068371243724
2023/1/11,0.101782709011835,0.046168516873562,0.00975398207575599,0.00938613089361691,0.00767153338568739
2023/1/12,0.101774546302914,0.0461646009093331,0.0097546814749206,0.00938678183651965,0.00767202835015622
2023/1/13,0.102955618682515,0.0466947413198396,0.00986781278410125,0.00949560171920516,0.00776026077113141
2023/1/14,0.102949094316573,0.0466917822430662,0.00986718745425066,0.00949499997661698,0.00775976899825177
2023/1/15,0.102942570830594,0.0466888235653934,0.00986656220874037,0.00949439831518782,0.00775927729169917
2023/1/16,0.102737462977363,0.0465993416234731,0.00984656278772377,0.0094751309926204,0.00774350486981201
2023/1/17,0.102650623345255,0.0466638090175617,0.00983810107097792,0.00946689948537527,0.00773601975282059
2023/1/18,0.102619971883273,0.0466536076584797,0.00983509405812593,0.00946313521696935,0.00773289322473296
2023/1/19,0.102510021547075,0.0466228615725237,0.00982360652094825,0.00945206001130772,0.00772376227846387
2023/1/20,0.10237309837327,0.0466787274092905,0.00981014597179204,0.00943908647660834,0.00771309634210808
2023/1/21,0.102366849610149,0.0466758781811729,0.00980954716918339,0.00943851032314215,0.00771262554154877
2023/1/22,0.102353145593661,0.0466696296055195,0.00980823394916482,0.00943724677442904,0.00771159303983567
2023/1/23,0.102346979952314,0.0466668182781656,0.0098076431118981,0.00943667828502325,0.00771112850192015
2023/1/24,0.102340815105413,0.0466640073130531,0.00980705235076116,0.00943610986886771,0.00771066402386065
2023/1/25,0.102334650045097,0.0466611962506302,0.00980646156917317,0.00943554143303466,0.00771019952972178
2023/1/26,0.102328485779358,0.0466583855505076,0.00980587086372732,0.00943497307046375,0.00770973509544866
2023/1/27,0.102322322303817,0.0466555752106895,0.00980528023400418,0.0094344047807514,0.00770927072071151
2023/1/28,0.102316645191956,0.0466529866365304,0.00980473621123903,0.00943388133513293,0.00770884299007304
2023/1/29,0.102303633439281,0.0466470537101476,0.00980348932904909,0.00943268161508281,0.00770786264559235
2023/1/30,0.102155195172054,0.046654731662854,0.00978737306717275,0.00941713087628212,0.00769443902872815
2023/1/31,0.102309391523343,0.0467282616773904,0.00980382926933012,0.00943185570233339,0.00770468053067206
2023/2/1,0.102159563860681,0.0466162136717759,0.00979156277326225,0.00942003271005412,0.00769501272064313
2023/2/2,0.10209050279697,0.0467301027995075,0.0097854813985821,0.00941331768894554,0.00768950112270992
2023/2/3,0.102119845253095,0.0468092603955584,0.00978613543121865,0.00941474563638527,0.0076899566011828
2023/2/4,0.102113402222684,0.0468063070666781,0.00978551799620363,0.00941415163340479,0.00768947142003003
2023/2/5,0.10210696005525,0.0468033541333657,0.00978490064388766,0.0094135577099849,0.00768898630386229
2023/2/6,0.10223318428861,0.0468830150005653,0.00979726599509538,0.00942543188407108,0.0076986643255262
2023/2/7,0.102228502199464,0.0468441765648011,0.00979998521919584,0.00942711708645885,0.00769931516386324
2023/2/8,0.0997509912055951,0.0457305337908009,0.00956155949954906,0.00919774166060202,0.00751197701167639
2023/2/9,0.0995488702591447,0.0456025159476822,0.00954067362845621,0.00917762926535325,0.00749553451547709
2023/2/10,0.0995384651260203,0.0458183088639476,0.0095372461607324,0.00917349076423674,0.00749211768497522
2023/2/11,0.0995321969636115,0.0458154235813496,0.00953664557875846,0.00917291308876331,0.00749164588936962
2023/2/12,0.0995259296456669,0.0458125386874649,0.00953604507769659,0.00917233549111592,0.00749117415732562
2023/2/13,0.0994157166604358,0.045642312705732,0.00952456708793994,0.00916207204409949,0.00748211754462686
2023/2/14,0.0993313120080485,0.0456976515328007,0.009515759181133,0.00915271787014249,0.00747441330166477
2023/2/15,0.0993102342467097,0.0457812957015602,0.00951282384743214,0.00915066999556934,0.00747206884586607
2023/2/16,0.099612987483446,0.0459090100904264,0.00954293900338938,0.00917879733898111,0.00749466817400219
2023/2/17,0.0998479338798487,0.0457737716399035,0.00956511776637462,0.00920010862593165,0.00751208232837323
2023/2/18,0.099841550075075,0.0457708450813804,0.00956450621797212,0.00919952041448769,0.00751160204134911
2023/2/19,0.0998351671380865,0.0457679189206804,0.0095638947527007,0.00919893228300249,0.007511121819613
2023/2/20,0.0995940352900343,0.045480211249878,0.00954164739567078,0.00917751277346347,0.0074936412405311
2023/2/21,0.0995041377983004,0.0455819619610806,0.00953054438552566,0.00916674914418361,0.00748412676199056
2023/2/22,0.0973335365268979,0.0446114401906381,0.00932315534310331,0.00896645526183894,0.00732058563236422
2023/2/23,0.0973525010764928,0.0446762017718707,0.00932465141601122,0.00896865357103849,0.0073217218630427
2023/2/24,0.0974542776650228,0.044717379725885,0.00933407910272218,0.00897770069536396,0.0073288288598684
2023/2/25,0.0974480896470519,0.0447145403230801,0.00933348642017798,0.00897713064164675,0.00732836350395199
2023/2/26,0.0974419024644346,0.0447117013035813,0.00933289381764316,0.00897656066488414,0.00732789821085646
2023/2/27,0.0974643741659671,0.0446926558454679,0.0093367126619583,0.00897941162636234,0.00733019547401808
2023/2/28,0.0973254244207046,0.0445856704762616,0.00932442479638954,0.00896751190600282,0.00731973305426414
2023/3/1,0.097135311579783,0.0446511776156612,0.00930531594583701,0.00894911401658401,0.00730472588208762
2023/3/2,0.095211690093534,0.0438422476258836,0.00911984799798581,0.00876994334977653,0.00715849370814249
2023/3/3,0.0952514875787099,0.0437897125390966,0.00912165684801991,0.00877166280956814,0.0071595975989533
2023/3/4,0.0952455373384872,0.0437869770510164,0.00912108702962805,0.00877111485486218,0.00715915034792663
2023/3/5,0.0952395878915744,0.0437842419276425,0.00912051728720665,0.00877056697321172,0.00715870315652925
2023/3/6,0.095253621545789,0.0437111123534533,0.00912042220018191,0.00877121767051211,0.00715859572345728
2023/3/7,0.0955455223465716,0.0439526946914971,0.00914711745939991,0.00879604634107192,0.00717881554371986
